uid,categoria_t,marca,producto_t,precio_t,precio_y,max,date_max,min,date_min,cambio,link_t,imagen_t
d0fade9802c05378c1f2d3852caf90fe,telefonos,Xiaomi,Celular XIAOMI REDMI NOTE 9S 128GB Gris,1499900.0,1499900.0,1499900.0,07-07-20,1499900.0,07-07-20,igual,http://www.alkosto.com/celular-xiaomi-redmi-note-9s-128gb-gris,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/6/9/6941059643500_1.jpg
6d1db375f311cf1d045f9786a0b8a76d,telefonos,Motorola,Celular MOTOROLA One Zoom 128GB Gris,1699900.0,1699900.0,1699900.0,07-07-20,1699900.0,07-07-20,igual,http://www.alkosto.com/celular-motorola-one-zoom-128gb-gris,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/7/2/723755134515_9.jpg
28daae4f05c85f4e385ab603ee52c23a,telefonos,Iphone,iPhone 7 32GB Plata,1739000.0,1739000.0,1739000.0,07-07-20,1739000.0,07-07-20,igual,http://www.alkosto.com/iphone-7-32gb-plata,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/p/iphone-7-plata-p1.jpg
0143493493fd9174300fd941a568ea1c,telefonos,Iphone,iPhone 7 32GB Negro Mate,1739000.0,1739000.0,1739000.0,07-07-20,1739000.0,07-07-20,igual,http://www.alkosto.com/iphone-7-32gb-negro-mate,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/i/p/iphone-7-ngm-p1.jpg
6c3cb19f46f1f11f568744d5cb2a6581,telefonos,Samsung,Celular SAMSUNG  Galaxy A71 - 128GB Plateado,1799900.0,,1799900.0,07-07-20,1799900.0,07-07-20,nuevo,http://www.alkosto.com/celular-samsung-galaxy-a71-128gb-plateado,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/8/8806090285158_2.jpg
fa96367e6827fbccc738ff54c4bbd15f,telefonos,Samsung,Celular SAMSUNG  Galaxy A71 - 128GB Azul,1799900.0,1799900.0,1799900.0,07-07-20,1799900.0,07-07-20,igual,http://www.alkosto.com/celular-samsung-galaxy-a71-128gb-azul,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/8/8/8806090285233_2.jpg
6a5706c3c1631fcd6c855fc55f4f515f,telefonos,Xiaomi,Celular XIAOMI MI NOTE 10 LITE 128GB Negro - Midnight Black,1999900.0,1999900.0,1999900.0,07-07-20,1999900.0,07-07-20,igual,http://www.alkosto.com/celular-xiaomi-mi-note-10-lite-128gb-negro-midnight-black,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/_/0/_0002_6941059641124_001.png
c9b180d9433487c42790d471607520a4,telefonos,Xiaomi,Celular XIAOMI MI NOTE 10 LITE 128GB Blanco - Glacier White,1999900.0,1999900.0,1999900.0,07-07-20,1999900.0,07-07-20,igual,http://www.alkosto.com/celular-xiaomi-mi-note-10-lite-128gb-blanco-glacier-white,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/_/0/_0000_6941059641636_003.png
be650dbab85b1bc6edcec2dabedf7958,telefonos,Xiaomi,Celular XIAOMI MI NOTE 10 LITE 128GB Morado - Nebula Purple,1999900.0,1999900.0,1999900.0,07-07-20,1999900.0,07-07-20,igual,http://www.alkosto.com/celular-xiaomi-mi-note-10-lite-128gb-morado-nebula-purple,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/_/0/_0002_6941059641629_001.png
ca06e951d0aab8c3b409a89970b7c4b6,telefonos,Iphone,iPhone SE 64GB Negro,2169000.0,2169000.0,2169000.0,07-07-20,2169000.0,07-07-20,igual,http://www.alkosto.com/iphone-se-64gb-negro,https://media.aws.alkosto.com/media/catalog/product/cache/6/small_image/280x/4275c8e8146210f1c7867d9f605120ed/1/9/190199503779_1.jpg
